"BeerName","Beer_ID","ABV","IBU","Style","Ounces"
"Modus Hoperandi",1521,0.068,65,"American IPA",12
"Estival Cream Stout",1297,0.058,15,"American Stout",12
"Mexican Logger",386,0.042,18,"American Pale Lager",12
"ESB Special Ale",68,0.057,58,"Extra Special / Strong Bitter (ESB)",12
"Modus Hoperandi",67,0.068,65,"American IPA",12
"Almanac IPA",1938,0.062,72,"American IPA",12
"Farmer's Tan Red Ale",1936,0.06,30,"American Amber / Red Ale",12
"Summer Session Ale",1930,0.05,61,"American Pale Wheat Ale",12
"Cape Cod Red",1928,0.055,35,"American Amber / Red Ale",16
"Beach Blonde",1927,0.049,10,"American Blonde Ale",16
"Long Trail IPA",1926,0.059,42,"English India Pale Ale (IPA)",12
"Long Trail Ale",1924,0.046,30,"American Amber / Red Ale",12
"Double Bag",1090,0.072,33,"Altbier",16
"Blackbeary Wheat",574,0.04,8,"Fruit / Vegetable Beer",12
"Long Trail Ale (1)",573,0.046,30,"Altbier",12
"Commotion APA",1923,0.052,49,"American Pale Ale (APA)",12
"Freeride APA",1921,0.053,40,"American Pale Ale (APA)",12
"Alaskan Amber",1920,0.053,18,"Altbier",12
"Heady Topper",1111,0.08,120,"American Double / Imperial IPA",16
"Heady Topper",379,0.08,120,"American Double / Imperial IPA",16
"Hydraulion Red",1913,0.053,22,"Irish Red Ale",12
"40 Mile IPA",1912,0.06,50,"American IPA",12
"Fresh Slice White IPA",1908,0.055,45,"American White IPA",12
"Montauk Summer Ale",1907,0.056,28,"American Blonde Ale",12
"Driftwood Ale",1906,0.06,49,"Extra Special / Strong Bitter (ESB)",12
"Let It Ride IPA",1903,0.068,90,"American IPA",12
"Stir Crazy Winter Ale",1691,0.065,22,"Winter Warmer",12
"Sweet Yamma Jamma Ale",1555,0.05,10,"Fruit / Vegetable Beer",12
"Shenanigans Summer Ale",1115,0.046,27,"American Pale Wheat Ale",12
"Midnight Ryder",729,0.065,80,"American Black Ale",12
"Day Tripper Pale Ale",728,0.054,45,"American Pale Ale (APA)",12
"Lost Sailor IPA",1900,0.055,40,"English India Pale Ale (IPA)",12
"Steel Rail Extra Pale Ale",1317,0.053,20,"American Pale Ale (APA)",12
"Groupe G",1895,0.076,65,"Belgian IPA",16
"Pt. Bonita Rustic Lager",1894,0.062,40,"American Pale Lager",16
"Hill 88 Double IPA",1893,0.088,77,"American Double / Imperial IPA",16
"Longhop IPA",1891,0.042,30,"American IPA",16
"Lucky Buck",1890,0.04,34,"Irish Dry Stout",16
"Thrasher Session India Pale Ale",1886,0.045,44,"American IPA",12
"Gutch English Style Mild Ale",1885,0.05,16,"English Pale Mild Ale",12
"Hop Freak",1884,0.087,80,"American Double / Imperial IPA",16
"Louie's Demise Amber Ale",1272,0.051,24,"American Amber / Red Ale",16
"Hop Happy",1080,0.075,51,"American IPA",16
"Booyah Farmhouse Ale",932,0.065,20,"Saison / Farmhouse Ale",16
"Flaming Damsel Lager (2010)",172,0.048,18,"Vienna Lager",16
"Louie’s Demise Immort-Ale (2010)",171,0.051,24,"American Amber / Red Ale",16
"Whitecap Wit",1882,0.048,16,"Witbier",16
"Seiche Scottish Ale",1881,0.078,16,"Scottish Ale",16
"Naked Pig Pale Ale",1875,0.06,43,"American Pale Ale (APA)",12
"El Chingon IPA",1874,0.076,73,"American IPA",12
"Block Party Robust Porter",1873,0.057,40,"American Porter",12
"Local Buzz",1872,0.052,20,"American Blonde Ale",12
"Saint Archer White Ale",1868,0.05,15,"Witbier",12
"Saint Archer IPA",1867,0.068,66,"American IPA",12
"Saint Archer Pale Ale",1865,0.052,40,"American Pale Ale (APA)",12
"Saint Archer Blonde",1864,0.048,22,"Kölsch",12
"Supergoose IPA",1857,0.069,67,"American IPA",12
"IPA & a Half",1856,0.073,87,"American IPA",12
"Ornery Amber Lager (2003)",736,0.055,33,"Vienna Lager",12
"On the Count of 3 (2015)",1778,0.07,42,"Hefeweizen",16
"Amber Road",533,0.055,35,"American Amber / Red Ale",12
"Pamola Xtra Pale Ale",183,0.049,28,"American Pale Ale (APA)",12
"Stowaway IPA",182,0.069,69,"American IPA",12
"American India Red Ale",1850,0.071,83,"American Strong Ale",12
"American Red Porter",1849,0.071,45,"American Porter",12
"American Red Saison",1848,0.078,34,"Saison / Farmhouse Ale",12
"Colorado Red Ale",1847,0.066,44,"American Amber / Red Ale",12
"Wachusett Light IPA",1846,0.04,37,"American IPA",12
"Green Monsta IPA",1845,0.06,55,"American IPA",12
"Wachusett IPA",1844,0.056,50,"American IPA",12
"Larry Imperial IPA",1418,0.085,85,"American Double / Imperial IPA",12
"Country Pale Ale",1030,0.051,17,"English Pale Ale",12
"Wachusett Light IPA (2013)",1029,0.04,37,"American IPA",12
"Pumpkan",908,0.052,20,"Pumpkin Ale",12
"Wachusett Blueberry Ale",619,0.045,10,"Fruit / Vegetable Beer",12
"Green Monsta IPA",618,0.06,55,"American IPA",12
"Hefe Lemon",1838,0.049,30,"Radler",12
"Hefe Black",1837,0.049,30,"Hefeweizen",12
"Widmer Brothers Hefeweizen",1836,0.049,30,"Hefeweizen",12
"Provision",1835,0.042,25,"Saison / Farmhouse Ale",12
"One Nut Brown",1834,0.047,28,"American Brown Ale",12
"Hop Farm IPA",1833,0.058,45,"American IPA",12
"Adam's Stout",1832,0.058,40,"American Stout",12
"American Hero",1688,0.057,42,"American Amber / Red Ale",12
"Schweet Ale",1687,0.052,20,"Fruit / Vegetable Beer",12
"Irregardless IPA",1686,0.065,75,"American IPA",12
"Our Legacy IPA",1831,0.065,60,"American IPA",12
"Our Legacy IPA",1135,0.065,60,"American IPA",16
"Blueberry Blonde Ale",773,0.05,12,"American Blonde Ale",12
"Porch Rocker",1830,0.045,8,"Radler",12
"Rebel IPA",1629,0.065,45,"American IPA",16
"Boston Lager",1349,0.049,30,"Vienna Lager",16
"Boston Lager",1310,0.049,30,"Vienna Lager",12
"Samuel Adams Octoberfest",1281,0.053,15,"Märzen / Oktoberfest",12
"Samuel Adams Summer Ale",1144,0.053,7,"American Pale Wheat Ale",12
"Boston Lager",1143,0.049,30,"Vienna Lager",12
"Falling Down Brown Ale",1487,0.065,65,"American Brown Ale",16
"Old Forge Pumpkin Ale",1394,0.046,20,"Pumpkin Ale",16
"Squatters Hop Rising Double IPA",1825,0.09,75,"American Double / Imperial IPA",12
"Squatters Hop Rising Double IPA (2014)",1680,0.09,75,"American Double / Imperial IPA",12
"#9",1813,0.051,20,"Fruit / Vegetable Beer",16
"Elder Betty",1113,0.055,13,"Hefeweizen",12
"#9",360,0.051,20,"Fruit / Vegetable Beer",12
"Quarter Mile Double IPA",1812,0.08,80,"American Double / Imperial IPA",12
"Hoptopus Double IPA",1806,0.088,108,"American Double / Imperial IPA",16
"Rodeo Rye Pale Ale",1805,0.042,35,"American Pale Ale (APA)",12
"Outlaw IPA",1048,0.062,65,"American IPA",12
"Payette Pale Ale",890,0.048,35,"American Pale Ale (APA)",12
"Mutton Buster",775,0.055,25,"American Brown Ale",12
"Last Stop IPA",1801,0.072,60,"American IPA",12
"Rollin Dirty Red Ale",1800,0.05,21,"Irish Red Ale",12
"Are Wheat There Yet?",1799,0.055,28,"American Pale Wheat Ale",12
"Dagger Falls IPA",1596,0.063,100,"American IPA",12
"Dagger Falls IPA",1595,0.063,100,"American IPA",12
"Old Devil's Tooth",1160,0.099,100,"American Barleywine",12
"Hell-Diver Pale Ale",1151,0.052,32,"American Pale Ale (APA)",12
"Woolybugger Wheat",1150,0.046,12,"American Pale Wheat Ale",12
"Winterfest",995,0.084,90,"American Strong Ale",16
"Dagger Falls IPA",879,0.063,100,"American IPA",12
"Filthy Hoppin' IPA",1795,0.065,72,"American IPA",16
"Thunder Ann",1793,0.055,37,"American Pale Ale (APA)",12
"Iron Butt Red Ale",1792,0.058,39,"American Amber / Red Ale",12
"Initial Point India Pale Ale",1609,0.071,92,"American IPA",12
"Hot Date Ale",1791,0.06,20,"Chile Beer",16
"Sweet Potato Ale",1491,0.06,24,"Fruit / Vegetable Beer",16
"Float Trip Ale",1335,0.045,18,"American Blonde Ale",16
"Old Tom Porter",847,0.055,25,"American Porter",16
"Black Walnut Wheat",846,0.045,18,"American Dark Wheat Ale",16
"McKinney Eddy Amber Ale",521,0.055,20,"American Amber / Red Ale",16
"Missouri Mule India Pale Ale",479,0.07,70,"American IPA",16
"Banner American Rye",1644,0.045,20,"Rye Beer",12
"Banner American Ale",1643,0.035,45,"American Amber / Red Ale",12
"Jacaranada Rye IPA",1772,0.067,60,"American IPA",16
"Lil SIPA",1771,0.05,55,"American IPA",16
"Hop Bomber Rye Pale Ale",1654,0.055,60,"American Pale Ale (APA)",16
"Voodoo Love Child",1770,0.092,25,"Tripel",12
"White Magick of the Sun",1769,0.079,23,"Witbier",12
"Wynona's Big Brown Ale",1730,0.075,31,"American Brown Ale",12
"Gran Met",1729,0.092,25,"Belgian Strong Pale Ale",12
"Good Vibes IPA",1603,0.073,85,"American IPA",12
"Pilzilla",1488,0.075,85,"American Double / Imperial Pilsner",12
"GreyBeard™ IPA",1760,0.069,51,"American IPA",12
"Pisgah Pale Ale",1759,0.057,31,"American Pale Ale (APA)",12
"When Helles Freezes Over",1756,0.056,18,"Munich Helles Lager",12
"Morgan Street Oktoberfest",1617,0.049,24,"Märzen / Oktoberfest",12
"Honey Wheat",1052,0.047,14,"American Pale Wheat Ale",12
"Black Bear Dark Lager",1051,0.046,24,"Schwarzbier",12
"Golden Pilsner",1046,0.05,35,"German Pilsener",12
"Just IPA",1749,0.046,45,"American IPA",12
"Bronx Summer Pale Ale",1748,0.052,16,"American Pale Ale (APA)",16
"Bronx Black Pale Ale",1747,0.057,46,"American Black Ale",16
"Bronx Pale Ale",1037,0.063,50,"American Pale Ale (APA)",16
"Dead Armadillo Amber Ale",1746,0.063,37,"American Amber / Red Ale",12
"A Slice of Hefen",1741,0.054,15,"Hefeweizen",16
"Elevated IPA",664,0.072,100,"American IPA",16
"Iron Horse Pale Ale",1722,0.05,32,"American Pale Ale (APA)",12
"Stone's Throw IPA",1435,0.045,19,"Scottish Ale",12
"Wood Chipper India Pale Ale",1434,0.067,70,"American IPA",12
"Big Sky IPA",1714,0.062,65,"American IPA",12
"Scape Goat Pale Ale",1713,0.05,40,"English Pale Ale",12
"Montana Trout Slayer Ale",1712,0.05,35,"American Pale Wheat Ale",12
"Moose Drool Brown Ale",1711,0.051,26,"American Brown Ale",12
"Powder Hound Winter Ale",1456,0.072,60,"English Strong Ale",12
"Moose Drool Brown Ale (2011)",767,0.051,26,"American Brown Ale",12
"Montana Trout Slayer Ale (2012)",766,0.05,35,"American Pale Wheat Ale",12
"Big Sky IPA (2012)",579,0.062,65,"American IPA",12
"Scape Goat Pale Ale (2010)",159,0.05,40,"English Pale Ale",12
"Montana Trout Slayer Ale (2009)",35,0.05,35,"American Pale Wheat Ale",12
"Moose Drool Brown Ale (2009)",34,0.051,26,"American Brown Ale",12
"Wick For Brains",1705,0.061,11,"Pumpkin Ale",12
"Nebraska India Pale Ale",1148,0.065,65,"American IPA",12
"EOS Hefeweizen",1147,0.048,10,"Hefeweizen",12
"Brunette Nut Brown Ale",1146,0.048,15,"English Brown Ale",12
"Cardinal Pale Ale",1145,0.057,29,"American Pale Ale (APA)",12
"Be Hoppy IPA",1697,0.065,69,"American IPA",16
"Category 3 IPA",1685,0.061,64,"American IPA",12
"KelSo Nut Brown Lager",1678,0.057,19,"Euro Dark Lager",12
"KelSo India Pale Ale",1572,0.06,64,"American IPA",12
"KelSo Pilsner",1348,0.055,23,"Czech Pilsener",12
"The Great Return",1677,0.075,70,"American IPA",16
"Hardywood Cream Ale",1331,0.044,18,"Cream Ale",12
"Capital Trail Pale Ale",1270,0.056,55,"American Pale Ale (APA)",12
"Troopers Alley IPA",1676,0.059,135,"American IPA",12
"Madra Allta",1675,0.064,95,"American IPA",12
"Duluchan India Pale Ale",1249,0.056,70,"American IPA",12
"Chaotic Double IPA",1674,0.099,93,"American Double / Imperial IPA",12
"Manzanita IPA",1673,0.08,88,"American IPA",12
"Riverwalk Blonde Ale",1672,0.06,25,"American Blonde Ale",12
"Gillespie Brown Ale",1671,0.095,49,"American Brown Ale",12
"Manzanita Pale Ale",1670,0.066,44,"American Pale Ale (APA)",12
"Chai Ale",1649,0.051,15,"Herbed / Spiced Beer",16
"Lucky Day IPA",1648,0.072,85,"American IPA",16
"Terrace Hill Double IPA",1647,0.095,99,"American Double / Imperial IPA",16
"Catch 23",1646,0.075,77,"American Black Ale",16
"Westfield Octoberfest",1645,0.057,22,"Märzen / Oktoberfest",12
"Charlie in the Rye",1550,0.058,55,"American IPA",12
"Elephant Rock IPA",1384,0.07,75,"American IPA",12
"Belgian Style Session Ale",1625,0.045,21,"Belgian Pale Ale",12
"Summer Paradise",1484,0.05,18,"American Pale Wheat Ale",12
"Monk from the 'Yunk",1356,0.09,30,"Tripel",12
"Schuylkill Punch",1355,0.06,14,"Fruit / Vegetable Beer",12
"Dreamin' Double IPA",1334,0.085,85,"American Double / Imperial IPA",12
"Jam Session",1622,0.051,31,"American Pale Ale (APA)",16
"Hop Drop 'N Roll IPA",1621,0.072,80,"American IPA",16
"Pumpkin Beast",1620,0.062,17,"Pumpkin Ale",12
"OktoberBeast",1579,0.072,22,"Märzen / Oktoberfest",12
"Mad Beach",1228,0.048,23,"American Pale Wheat Ale",12
"Devils Tramping Ground Tripel",704,0.092,5,"Tripel",12
"Hot Rod Red",702,0.061,41,"American Amber / Red Ale",12
"Hop Slayer Double IPA",1619,0.082,100,"American Double / Imperial IPA",12
"Phat Chance",971,0.052,27,"American Blonde Ale",12
"Hop Slayer Double IPA (2011)",740,0.082,100,"American Double / Imperial IPA",12
"Hop Slayer Double IPA (2011)",430,0.082,100,"American Double / Imperial IPA",12
"Wild Onion Summer Wit",398,0.042,13,"Witbier",12
"Jack Stout",366,0.06,23,"Oatmeal Stout",12
"Paddy Pale Ale",162,0.056,41,"American Pale Ale (APA)",12
"The 12th Can™",1615,0.045,32,"American Pale Ale (APA)",16
"Hilliard's Pils",889,0.055,34,"Czech Pilsener",16
"Hilliard's Blonde",724,0.049,20,"American Blonde Ale",16
"Hilliard's Amber Ale",497,0.055,60,"American Amber / Red Ale",16
"Hilliard's Saison",496,0.066,30,"Saison / Farmhouse Ale",16
"Chickawawa Lemonale",1604,0.05,5,"Fruit / Vegetable Beer",12
"Barrel Aged Farmer",1574,0.07,22,"American Brown Ale",16
"Dos Pistolas",1244,0.048,20,"Vienna Lager",12
"Owney Irish Style Red Ale",1064,0.05,30,"Irish Red Ale",16
"Widespread Wit",865,0.055,10,"Witbier",16
"Roller Dam Red Ale",864,0.054,30,"Irish Red Ale",16
"483 Pale Ale",863,0.053,48,"American Pale Ale (APA)",16
"Hop A Potamus Double Dark Rye Pale Ale",672,0.09,99,"Rye Beer",16
"Farmer Brown Ale",655,0.07,22,"American Brown Ale",16
"Big Cock IPA",540,0.07,70,"American IPA",16
"Oktoberfest",539,0.059,25,"Märzen / Oktoberfest",16
"40th Annual Bix Street Fest Copper Ale (Current)",517,0.048,25,"American Amber / Red Ale",16
"Redband Stout",371,0.06,36,"American Stout",16
"483 Pale Ale (2010)",190,0.053,48,"American Pale Ale (APA)",16
"Roller Dam Red Ale (2010)",189,0.054,30,"Irish Red Ale",16
"Mustang Golden Ale",421,0.053,10,"American Blonde Ale",12
"Washita Wheat",420,0.053,14,"American Pale Wheat Ale",12
"Maylani's Coconut Stout",1594,0.053,35,"American Stout",16
"Oatmeal PSA",1162,0.05,35,"American Pale Ale (APA)",16
"Pre Flight Pilsner",1137,0.052,33,"American Pilsner",16
"Lower De Boom",1036,0.099,92,"American Barleywine",8.4
"Fireside Chat",1024,0.079,45,"Winter Warmer",12
"Bitter American",876,0.044,42,"American Pale Ale (APA)",12
"Hell or High Watermelon Wheat (2009)",802,0.049,17,"Fruit / Vegetable Beer",12
"Hell or High Watermelon Wheat (2009)",801,0.049,17,"Fruit / Vegetable Beer",12
"21st Amendment Watermelon Wheat Beer (2006)",800,0.049,17,"Fruit / Vegetable Beer",12
"21st Amendment IPA (2006)",799,0.07,70,"American IPA",12
"Brew Free! or Die IPA (2008)",797,0.07,70,"American IPA",12
"Brew Free! or Die IPA (2009)",796,0.07,70,"American IPA",12
"Special Edition: Allies Win The War!",531,0.085,52,"English Strong Ale",12
"Hop Crisis",432,0.097,94,"American Double / Imperial IPA",12
"Bitter American (2011)",353,0.044,42,"American Pale Ale (APA)",12
"Fireside Chat (2010)",321,0.079,45,"Winter Warmer",12
"Back in Black",173,0.068,65,"American Black Ale",12
"Monk's Blood",11,0.083,35,"Belgian Dark Ale",12
"Brew Free! or Die IPA",10,0.07,65,"American IPA",12
"Hell or High Watermelon Wheat",9,0.049,17,"Fruit / Vegetable Beer",12
"Crank Yanker IPA",1382,0.078,74,"American IPA",16
"Crank Yanker IPA (2011)",395,0.078,74,"American IPA",16
"Sly Fox Christmas Ale 2013",1588,0.055,16,"Winter Warmer",12
"Grisette",1363,0.056,25,"Grisette",12
"Helles Golden Lager",1123,0.049,18,"Munich Helles Lager",12
"Sly Fox Christmas Ale 2012 (2012)",926,0.055,16,"Winter Warmer",12
"Odyssey Imperial IPA",894,0.084,90,"American Double / Imperial IPA",12
"Oktoberfest Lager",166,0.058,25,"Märzen / Oktoberfest",12
"113 IPA",24,0.07,113,"American IPA",12
"Dunkel Lager",23,0.053,21,"Munich Dunkel Lager",12
"Royal Weisse Ale",22,0.056,11,"Hefeweizen",12
"Pikeland Pils",21,0.049,44,"German Pilsener",12
"Phoenix Pale Ale",20,0.051,40,"American Pale Ale (APA)",12
"Trolley Stop Stout",1580,0.057,40,"American Stout",12
"Bitter Bitch Imperial IPA",980,0.082,138,"American Double / Imperial IPA",12
"Poop Deck Porter",979,0.062,35,"American Porter",12
"Old Red Beard Amber Ale",978,0.06,35,"American Amber / Red Ale",12
"Lahaina Town Brown",1578,0.051,20,"American Brown Ale",12
"Sobrehumano Palena'ole",690,0.06,24,"American Amber / Red Ale",12
"La Perouse White",547,0.05,12,"Witbier",12
"Flyin' HI.P.Hay",435,0.068,68,"American IPA",12
"Mana Wheat",313,0.055,15,"American Pale Wheat Ale",12
"Bikini Blonde Lager",33,0.045,18,"Munich Helles Lager",12
"CoCoNut Porter",32,0.057,30,"American Porter",12
"Big Swell IPA",31,0.062,65,"American IPA",12
"12th Round",1577,0.076,78,"American Strong Ale",16
"RoughTail IPA",1576,0.07,80,"American IPA",16
"Slow Hand Stout",1571,0.052,29,"American Stout",16
"Flying Jenny Extra Pale Ale",1505,0.06,54,"American Pale Ale (APA)",12
"Hazy Day Belgian-Style Wit",1186,0.04,20,"Witbier",16
"Leaning Chimney Smoked Porter",984,0.06,34,"American Porter",16
"Flying Jenny Extra Pale Ale (2012)",693,0.06,54,"American Pale Ale (APA)",12
"Flagship Ale",631,0.049,22,"Cream Ale",12
"1327 Pod's ESB",888,0.056,37,"Extra Special / Strong Bitter (ESB)",12
"1327 Pod's ESB",886,0.056,37,"Extra Special / Strong Bitter (ESB)",12
"1327 Pod's ESB",612,0.056,37,"Extra Special / Strong Bitter (ESB)",12
"834 Happy As Ale",611,0.046,35,"American Pale Ale (APA)",12
"Full Nelson Pale Ale",1547,0.059,60,"American Pale Ale (APA)",12
"Steel Wheels ESB",1546,0.065,30,"Extra Special / Strong Bitter (ESB)",12
"Blue Mountain Classic Lager",1545,0.053,22,"Euro Pale Lager",12
"Full Nelson Pale Ale (2010)",119,0.059,60,"American Pale Ale (APA)",12
"Starr Pils",1544,0.042,20,"German Pilsener",12
"Northern Lights India Pale Ale",1205,0.065,52,"American IPA",16
"Festie",369,0.048,12,"Märzen / Oktoberfest",12
"Northern Lights India Pale Ale",368,0.065,52,"American IPA",12
"Westbrook Gose",1312,0.04,5,"Gose",12
"White Thai",576,0.05,16,"Witbier",12
"Westbrook IPA",575,0.068,65,"American IPA",12
"Monkey Fist IPA",1539,0.069,65,"American IPA",12
"Old Grogham Imperial India Pale Ale",1265,0.085,86,"American Double / Imperial IPA",16
"Old Grogham Imperial India Pale Ale (2012)",747,0.085,86,"American Double / Imperial IPA",16
"G'KNIGHT",1533,0.087,85,"American Double / Imperial IPA",12
"Ten Fidy",1532,0.099,98,"Russian Imperial Stout",12
"Deviant Dale's IPA",1328,0.08,85,"American Double / Imperial IPA",16
"Old Chub",1175,0.08,35,"Scottish Ale",12
"Dale's Pale Ale",1166,0.065,65,"American Pale Ale (APA)",19.2
"Dale's Pale Ale",1065,0.065,65,"American Pale Ale (APA)",12
"Agave Wheat",1522,0.042,9,"American Pale Wheat Ale",12
"SummerBright Ale",397,0.045,15,"American Pale Wheat Ale",12
"Lucky U IPA",193,0.062,68,"American IPA",12
"Avalanche Ale",83,0.054,19,"American Amber / Red Ale",12
"Saison 88",1519,0.055,30,"Saison / Farmhouse Ale",12
"Black IPA",967,0.071,95,"American Black Ale",12
"Shark Bait",1508,0.053,11,"Fruit / Vegetable Beer",12
"Gator Tail Brown Ale",1507,0.053,30,"American Brown Ale",12
"Miami Vice IPA",1506,0.071,62,"American IPA",12
"Big Rod Coconut Ale",1325,0.053,16,"American Blonde Ale",12
"Alteration",502,0.051,40,"Altbier",12
"Pale Dog",501,0.06,50,"American Pale Ale (APA)",12
"1881 California Red",1479,0.056,35,"American Amber / Red Ale",12
"CAPT Black IPA",1478,0.073,55,"American Black Ale",12
"Ruhstaller's Gilt Edge Lager Beer",1370,0.048,42,"American Amber / Red Lager",12
"CAPT Black IPA",883,0.073,55,"American Black Ale",16
"1881 California Red Ale",882,0.056,35,"American Amber / Red Ale",16
"Oval Beach Blonde Ale",1477,0.05,11,"American Blonde Ale",16
"Desolation IPA",837,0.062,43,"American IPA",16
"Wolverine Premium Lager",1468,0.047,15,"American Pale Lager",12
"Sudice American Stout",1455,0.07,58,"American Stout",16
"Parcae Belgian Style Pale Ale",1454,0.05,20,"Belgian Pale Ale",16
"Norns Roggenbier",1453,0.05,20,"Roggenbier",16
"Laimas Kölsch Style Ale",1452,0.05,20,"Kölsch",16
"Moirai India Pale Ale",1451,0.07,70,"American IPA",16
"Weiss Trash Culture",1417,0.034,6,"Berliner Weissbier",12
"Gandhi-Bot Double IPA (12 oz.)",320,0.088,85,"American Double / Imperial IPA",12
"Gandhi-Bot Double IPA (16 oz.) (2010)",42,0.088,85,"American Double / Imperial IPA",16
"Sand Island Lighthouse",1410,0.051,25,"Kölsch",12
"Lily Flagg Milk Stout",925,0.05,30,"Milk / Sweet Stout",12
"Monkeynaut IPA",637,0.072,70,"American IPA",12
"Kölsch 151",1408,0.049,16,"Kölsch",12
"Tybee Island Blonde",1407,0.047,17,"American Blonde Ale",12
"Savannah Brown Ale",1406,0.062,55,"American Brown Ale",12
"Hazed & Infused",1395,0.049,35,"American Pale Ale (APA)",12
"Hoopla Pale Ale",808,0.057,35,"American Pale Ale (APA)",12
"Hazed & Infused (2010)",81,0.049,35,"American Pale Ale (APA)",12
"Cascadian Dark Ale",1393,0.06,75,"American Black Ale",12
"Wheat the People",893,0.044,13,"American Pale Wheat Ale",16
"Sanitas Saison Ale",1392,0.058,20,"Saison / Farmhouse Ale",12
"Sanitas Black IPA",1391,0.068,65,"American Black Ale",12
"Beaver Logger",1383,0.052,19,"American Pale Lager",12
"Grazias",1351,0.063,30,"Cream Ale",16
"Habitus IPA",1346,0.08,86,"American IPA",16
"Ex Umbris Rye Imperial Stout",904,0.099,85,"American Double / Imperial Stout",16
"Belgorado",928,0.067,45,"Belgian IPA",12
"Silverback Pale Ale",145,0.055,40,"American Pale Ale (APA)",12
"Quakertown Stout",1333,0.092,50,"American Double / Imperial Stout",12
"Greenbelt Farmhouse Ale",1332,0.051,20,"Saison / Farmhouse Ale",12
"Schlafly Yakima Wheat Ale",1324,0.05,45,"American Pale Wheat Ale",12
"Schlafly IPA",1078,0.045,30,"American IPA",12
"Schlafly American Brown Ale",1077,0.05,30,"American Brown Ale",12
"Schlafly Hefeweizen",588,0.041,16,"Hefeweizen",12
"Schlafly Summer Lager",53,0.045,17,"Munich Helles Lager",12
"Green Bullet Organic India Pale Ale",1322,0.07,45,"American IPA",16
"Face Plant IPA",1309,0.062,65,"American IPA",12
"Rhino Chasers Pilsner",1308,0.056,55,"Czech Pilsener",12
"Blur India Pale Ale",1302,0.074,60,"American IPA",12
"Gateway Kolsch Style Ale",1300,0.053,32,"Kölsch",12
"Wee-Heavy-Er Scotch Ale",1260,0.07,24,"Scotch Ale / Wee Heavy",12
"13 Rebels ESB",1259,0.052,42,"Extra Special / Strong Bitter (ESB)",12
"Na Zdraví Pilsner",1283,0.048,32,"Czech Pilsener",16
"Nice Rack IPA",1282,0.055,65,"American IPA",16
"East India Pale Ale",1279,0.068,47,"English India Pale Ale (IPA)",16
"East India Pale Ale",566,0.068,47,"English India Pale Ale (IPA)",12
"Longboard Island Lager",1274,0.046,18,"American Amber / Red Lager",24
"Longboard Island Lager",1220,0.046,18,"American Amber / Red Lager",16
"Longboard Island Lager",1070,0.046,18,"American Amber / Red Lager",12
"Longboard Island Lager",590,0.046,18,"American Amber / Red Lager",12
"Rustic Red",1268,0.052,23,"Irish Red Ale",16
"Stimulator Pale Ale",697,0.053,48,"American Pale Ale (APA)",16
"Old Town Ale",696,0.045,22,"Kölsch",16
"Car 21",695,0.044,28,"English Bitter",16
"Cache La Porter",694,0.05,24,"American Porter",16
"5 Day IPA",1258,0.061,66,"American IPA",12
"O'Fallon Wheach",128,0.051,7,"Fruit / Vegetable Beer",12
"Jack Pine Savage",1257,0.053,43,"American Pale Ale (APA)",16
"Forest Fire Imperial Smoked Rye",1256,0.099,85,"Rye Beer",16
"Bad Axe Imperial IPA",1255,0.098,76,"American Double / Imperial IPA",16
"Morning Wood",986,0.055,35,"Oatmeal Stout",16
"Bark Bite IPA",985,0.066,50,"American IPA",16
"Big Nose",1242,0.073,50,"American IPA",12
"Cotton Mouth",1241,0.05,10,"Witbier",12
"Stump Knocker Pale Ale",1240,0.056,35,"American Pale Ale (APA)",12
"Midnight Oil",1239,0.05,38,"Oatmeal Stout",12
"Wild Night",1238,0.059,18,"Cream Ale",12
"Pit Stop Chocolate Porter",1237,0.037,34,"American Porter",12
"Pace Setter Belgian Style Wit",1236,0.037,21,"Witbier",12
"Back in the Saddle Rye Pale Ale",1047,0.037,53,"American Pale Ale (APA)",12
"Dodgy Knight Imperial IPA",1229,0.08,95,"American Double / Imperial IPA",12
"TailGate IPA",663,0.05,44,"American IPA",24
"TailGate IPA",662,0.05,44,"American IPA",12
"TailGate Hefeweizen",623,0.049,28,"Hefeweizen",24
"Blacktop Blonde",622,0.05,19,"American Blonde Ale",24
"Blacktop Blonde",362,0.05,19,"American Blonde Ale",12
"TailGate Hefeweizen",361,0.049,28,"Hefeweizen",12
"Three Skulls Ale Pale Ale",1226,0.063,42,"American Pale Ale (APA)",16
"Chuli Stout",1213,0.059,55,"Irish Dry Stout",12
"Mother Ale",1159,0.056,46,"American Blonde Ale",12
"Twister Creek India Pale Ale",947,0.065,71,"American IPA",12
"Single Engine Red",929,0.058,46,"Irish Red Ale",12
"Mirror Pond Pale Ale",1210,0.05,40,"American Pale Ale (APA)",12
"Bomber Mountain Amber Ale (2013)",1200,0.046,20,"American Amber / Red Ale",12
"Indian Paintbrush IPA",1199,0.07,75,"American IPA",12
"Saddle Bronc Brown Ale (2013)",1198,0.048,16,"English Brown Ale",12
"Wagon Box Wheat Beer",1197,0.059,15,"American Pale Wheat Ale",12
"Peninsula Brewers Reserve (PBR)",1187,0.05,15,"American Blonde Ale",12
"Harvest Ale",901,0.065,35,"Saison / Farmhouse Ale",12
"Fremont Summer Ale",875,0.065,45,"American Pale Ale (APA)",12
"Universale Pale Ale",858,0.056,30,"American Pale Ale (APA)",12
